#YEAR DOY HR  1
2013  59 16  7
2013  59 17  7
2013  59 18 17
2013  59 19 17
2013  59 20 17
2013  59 21 40
2013  59 22 40
2013  59 23 40
2013  60  0 47
2013  60  1 47
2013  60  2 47
2013  60  3 37
2013  60  4 37
2013  60  5 37
2013  60  6 47
2013  60  7 47
2013  60  8 47
2013  60  9 50
2013  60 10 50
2013  60 11 50
2013  60 12 43
2013  60 13 43
2013  60 14 43
2013  60 15 43
2013  60 16 43
2013  60 17 43
2013  60 18 40
2013  60 19 40
2013  60 20 40
2013  60 21 43
2013  60 22 43
2013  60 23 43
2013  61  0 40
2013  61  1 40
2013  61  2 40
2013  61  3 33
2013  61  4 33
2013  61  5 33
2013  61  6 27
2013  61  7 27
2013  61  8 27
2013  61  9 13
2013  61 10 13
2013  61 11 13
2013  61 12 20
2013  61 13 20
2013  61 14 20
2013  61 15 27
2013  61 16 27
2013  61 17 27
2013  61 18 30
2013  61 19 30
2013  61 20 30
2013  61 21 33
2013  61 22 33
2013  61 23 33
2013  62  0 27
2013  62  1 27
2013  62  2 27
2013  62  3 30
2013  62  4 30
2013  62  5 30
2013  62  6 23
2013  62  7 23
2013  62  8 23
2013  62  9 17
2013  62 10 17
2013  62 11 17
2013  62 12 17
2013  62 13 17
2013  62 14 17
2013  62 15 17
2013  62 16 17
2013  62 17 17
2013  62 18 20
2013  62 19 20
2013  62 20 20
2013  62 21 23
2013  62 22 23
2013  62 23 23
2013  63  0 23
2013  63  1 23
2013  63  2 23
2013  63  3  7
2013  63  4  7
2013  63  5  7
2013  63  6 13
2013  63  7 13
2013  63  8 13
2013  63  9 13
2013  63 10 13
2013  63 11 13
2013  63 12 17
2013  63 13 17
2013  63 14 17
2013  63 15  3
2013  63 16  3
2013  63 17  3
2013  63 18  3
2013  63 19  3
2013  63 20  3
2013  63 21  7
2013  63 22  7
2013  63 23  7
2013  64  0 27
2013  64  1 27
2013  64  2 27
2013  64  3  3
2013  64  4  3
2013  64  5  3
2013  64  6  3
2013  64  7  3
2013  64  8  3
2013  64  9  3
2013  64 10  3
2013  64 11  3
2013  64 12  7
2013  64 13  7
2013  64 14  7
2013  64 15  7
2013  64 16  7
2013  64 17  7
2013  64 18 10
2013  64 19 10
2013  64 20 10
2013  64 21  7
2013  64 22  7
2013  64 23  7
2013  65  0 13
2013  65  1 13
2013  65  2 13
2013  65  3 23
2013  65  4 23
2013  65  5 23
2013  65  6  3
2013  65  7  3
2013  65  8  3
2013  65  9  3
2013  65 10  3
2013  65 11  3
2013  65 12  3
